iter	Passed	Remaining
0	47	14263
1	49	7329
2	50	4997
3	51	3829
4	53	3128
5	54	2668
6	56	2355
7	59	2165
8	60	1966
9	62	1807
10	63	1670
11	64	1559
12	66	1464
13	67	1380
14	68	1306
15	70	1258
16	74	1242
17	76	1193
18	77	1146
19	78	1102
20	80	1063
21	81	1026
22	82	993
23	83	963
24	84	934
25	86	913
26	88	899
27	90	883
28	92	865
29	94	846
30	95	827
31	96	808
32	97	791
33	99	774
34	100	759
35	101	745
36	103	736
37	105	727
38	107	716
39	108	705
40	109	693
41	111	682
42	112	671
43	113	661
44	115	651
45	116	645
46	118	637
47	119	629
48	121	622
49	122	614
50	124	608
51	125	600
52	127	592
53	128	585
54	129	577
55	131	572
56	133	568
57	135	563
58	136	557
59	137	551
60	139	544
61	140	539
62	141	533
63	142	527
64	144	521
65	145	517
66	147	513
67	150	514
68	152	509
69	153	504
70	154	499
71	156	494
72	157	489
73	158	485
74	161	483
75	164	483
76	165	480
77	167	475
78	168	470
79	169	466
80	170	461
81	171	457
82	173	452
83	174	448
84	175	444
85	178	445
86	180	443
87	182	439
88	183	436
89	185	432
90	186	429
91	188	425
92	189	422
93	191	418
94	192	415
95	194	413
96	196	410
97	197	407
98	199	404
99	200	400
100	201	397
101	203	394
102	204	390
103	205	387
104	207	384
105	209	382
106	211	381
107	213	379
108	214	376
109	216	373
110	217	370
111	218	367
112	220	364
113	221	361
114	223	358
115	224	356
116	227	355
117	228	352
118	229	349
119	231	346
120	232	343
121	233	340
122	234	337
123	236	335
124	237	333
125	239	330
126	241	328
127	243	326
128	244	324
129	246	321
130	247	319
131	248	316
132	249	313
133	253	313
134	256	313
135	257	310
136	259	308
137	260	306
138	262	303
139	263	301
140	265	299
141	267	297
142	270	297
143	273	295
144	274	293
145	275	291
146	277	288
147	278	286
148	279	283
149	280	280
150	282	278
151	283	276
152	285	274
153	287	272
154	289	270
155	290	268
156	291	265
157	292	263
158	294	260
159	295	258
160	296	256
161	297	253
162	299	251
163	301	249
164	302	247
165	304	245
166	306	243
167	307	241
168	309	239
169	310	237
170	311	235
171	312	232
172	314	230
173	316	228
174	317	226
175	319	225
176	321	223
177	322	221
178	324	219
179	325	216
180	326	214
181	327	212
182	328	210
183	330	208
184	331	205
185	333	204
186	334	202
187	337	200
188	338	198
189	339	196
190	341	194
191	342	192
192	343	190
193	345	188
194	346	186
195	347	184
196	349	182
197	351	181
198	353	179
199	354	177
200	355	175
201	356	173
202	357	171
203	359	169
204	360	167
205	361	165
206	362	163
207	364	161
208	365	159
209	367	157
210	369	155
211	370	153
212	371	151
213	372	149
214	374	147
215	375	146
216	376	144
217	377	142
218	379	140
219	381	138
220	382	136
221	385	135
222	386	133
223	387	131
224	389	129
225	390	127
226	391	126
227	392	124
228	394	122
229	395	120
230	396	118
231	400	117
232	402	115
233	403	113
234	405	112
235	406	110
236	407	108
237	408	106
238	410	104
239	411	102
240	412	101
241	414	99
242	416	97
243	417	95
244	419	94
245	420	92
246	422	90
247	423	88
248	424	86
249	426	85
250	427	83
251	428	81
252	431	80
253	433	78
254	434	76
255	435	74
256	437	73
257	438	71
258	439	69
259	441	67
260	443	66
261	445	64
262	446	62
263	447	61
264	449	59
265	450	57
266	451	55
267	453	54
268	454	52
269	456	50
270	460	49
271	461	47
272	462	45
273	464	44
274	465	42
275	466	40
276	468	38
277	470	37
278	471	35
279	475	33
280	476	32
281	477	30
282	478	28
283	480	27
284	481	25
285	483	23
286	484	21
287	487	20
288	490	18
289	491	16
290	493	15
291	494	13
292	495	11
293	497	10
294	498	8
295	499	6
296	501	5
297	503	3
298	505	1
299	507	0
